2020-10-28 15:37:10,121 : INFO : __main__ : no samples found, name = ken_2016-08-18, seed = 1, C = 0.0001, task = miss/falsealarm
2020-10-28 23:12:24,790 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 1e-06, task = hit/falsealarm
2020-10-28 23:12:26,511 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 1e-06, task = miss/falsealarm
2020-10-28 23:12:26,511 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 1e-06, task = correctreject/falsealarm
2020-10-28 23:13:25,676 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 0.0001, task = hit/falsealarm
2020-10-28 23:13:27,521 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 0.0001, task = miss/falsealarm
2020-10-28 23:13:27,521 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 0.0001, task = correctreject/falsealarm
2020-10-28 23:16:57,589 : INFO : __main__ : no samples found, name = ken_2016-08-18, seed = 1, C = 1e-06, task = hit/miss
2020-10-28 23:17:00,088 : INFO : __main__ : no samples found, name = ken_2016-08-18, seed = 1, C = 1e-06, task = miss/correctreject
2020-10-28 23:17:00,088 : INFO : __main__ : no samples found, name = ken_2016-08-18, seed = 1, C = 1e-06, task = miss/falsealarm
2020-10-28 23:18:11,649 : INFO : __main__ : no samples found, name = ken_2016-08-18, seed = 1, C = 0.0001, task = hit/miss
2020-10-28 23:18:14,290 : INFO : __main__ : no samples found, name = ken_2016-08-18, seed = 1, C = 0.0001, task = miss/correctreject
2020-10-28 23:18:14,290 : INFO : __main__ : no samples found, name = ken_2016-08-18, seed = 1, C = 0.0001, task = miss/falsealarm
